idpedido;cliente;idempleado;idempresa;importe;pais;porc_iva;iva;total
10659;QUEEN;7;2;105.81;Brasil;0.21;22.22;128.03
10660;HUNGC;8;1;111.29;Estados Unidos;0.21;23.37;134.66
10661;HUNGO;7;3;17.55;Irlanda;0.21;3.69;21.24
10662;LONEP;3;2;1.28;Estados Unidos;0.21;0.27;1.55
10663;BONAP;2;2;113.15;Francia;0.21;23.76;136.91
10664;FURIB;1;3;1.27;Portugal;0.21;0.27;1.54
10665;LONEP;1;2;26.31;Estados Unidos;0.21;5.53;31.84
10666;RICSU;7;2;232.42;Suiza;0.21;48.81;281.23
10667;ERNSH;7;1;78.09;Austria;0.21;16.40;94.49
10668;WANDK;1;2;47.22;Alemania;0.21;9.92;57.14
10669;SIMOB;2;1;24.39;Dinamarca;0.21;5.12;29.51
10670;FRANK;4;1;203.48;Alemania;0.21;42.73;246.21
10671;FRANR;1;1;30.34;Francia;0.21;6.37;36.71
10672;BERGS;9;2;95.75;Suecia;0.21;20.11;115.86
10673;WILMK;2;1;22.76;Finlandia;0.21;4.78;27.54
10674;ISLAT;4;2;0.90;Reino Unido;0.21;0.19;1.09
10675;FRANK;5;2;31.85;Alemania;0.21;6.69;38.54
10676;TORTU;2;2;2.01;Mexico;0.21;0.42;2.43
10677;ANTON;1;3;4.03;Mexico;0.21;0.85;4.88
10678;SAVEA;7;3;388.98;Estados Unidos;0.21;81.69;470.67
10679;BLONP;8;3;27.94;Francia;0.21;5.87;33.81
10680;OLDWO;1;1;26.61;Estados Unidos;0.21;5.59;32.20
10681;GREAL;3;3;76.13;Estados Unidos;0.21;15.99;92.12
10682;ANTON;3;2;36.13;Mexico;0.21;7.59;43.72
10683;DUMON;2;1;4.40;Francia;0.21;0.92;5.32
10684;OTTIK;3;1;145.63;Alemania;0.21;30.58;176.21
10685;GOURL;4;2;33.75;Brasil;0.21;7.09;40.84
10686;PICCO;2;1;96.50;Austria;0.21;20.26;116.76
10687;HUNGO;9;2;296.43;Irlanda;0.21;62.25;358.68
10688;VAFFE;4;2;299.09;Dinamarca;0.21;62.81;361.90
10689;BERGS;1;2;13.42;Suecia;0.21;2.82;16.24
10690;HANAR;1;1;15.80;Brasil;0.21;3.32;19.12
10691;QUICK;2;2;810.05;Alemania;0.21;170.11;980.16
10692;ALFKI;4;2;61.02;Alemania;0.21;12.81;73.83
10693;WHITC;3;3;139.34;Estados Unidos;0.21;29.26;168.60
10694;QUICK;8;3;398.36;Alemania;0.21;83.66;482.02
10695;WILMK;7;1;16.72;Finlandia;0.21;3.51;20.23
10696;WHITC;8;3;102.55;Estados Unidos;0.21;21.54;124.09
10697;LINOD;3;1;45.52;Venezuela;0.21;9.56;55.08
10698;ERNSH;4;1;272.47;Austria;0.21;57.22;329.69
10699;MORGK;3;3;0.58;Alemania;0.21;0.12;0.70
10700;SAVEA;3;1;65.10;Estados Unidos;0.21;13.67;78.77
10701;HUNGO;6;3;220.31;Irlanda;0.21;46.27;266.58
10702;ALFKI;4;1;23.94;Alemania;0.21;5.03;28.97
10703;FOLKO;6;2;152.30;Suecia;0.21;31.98;184.28
10704;QUEEN;6;1;4.78;Brasil;0.21;1.00;5.78
10705;HILAA;9;2;3.52;Venezuela;0.21;0.74;4.26
10706;OLDWO;8;3;135.63;Estados Unidos;0.21;28.48;164.11
10707;AROUT;4;3;21.74;Reino Unido;0.21;4.57;26.31
10708;THEBI;6;2;2.96;Estados Unidos;0.21;0.62;3.58
10709;GOURL;1;3;210.80;Brasil;0.21;44.27;255.07
10710;FRANS;1;1;4.98;Italia;0.21;1.05;6.03
10711;SAVEA;5;2;52.41;Estados Unidos;0.21;11.01;63.42
10712;HUNGO;3;1;89.93;Irlanda;0.21;18.89;108.82
10713;SAVEA;1;1;167.05;Estados Unidos;0.21;35.08;202.13
10714;SAVEA;5;3;24.49;Estados Unidos;0.21;5.14;29.63
10715;BONAP;3;1;63.20;Francia;0.21;13.27;76.47
10716;RANCH;4;2;22.57;Argentina;0.21;4.74;27.31
10717;FRANK;1;2;59.25;Alemania;0.21;12.44;71.69
10718;KOENE;1;3;170.88;Alemania;0.21;35.88;206.76
10719;LETSS;8;2;51.44;Estados Unidos;0.21;10.80;62.24
10720;QUEDE;8;2;9.53;Brasil;0.21;2.00;11.53
10721;QUICK;5;3;48.92;Alemania;0.21;10.27;59.19
10722;SAVEA;8;1;74.58;Estados Unidos;0.21;15.66;90.24
10723;WHITC;3;1;21.72;Estados Unidos;0.21;4.56;26.28
10724;MEREP;8;2;57.75;Canada;0.21;12.13;69.88
10725;FAMIA;4;3;10.83;Brasil;0.21;2.27;13.10
10726;EASTC;4;1;16.56;Reino Unido;0.21;3.48;20.04
10727;REGGC;2;1;89.90;Italia;0.21;18.88;108.78
10728;QUEEN;4;2;58.33;Brasil;0.21;12.25;70.58
10729;LINOD;8;3;141.06;Venezuela;0.21;29.62;170.68
10730;BONAP;5;1;20.12;Francia;0.21;4.23;24.35
10731;CHOPS;7;1;96.65;Suiza;0.21;20.30;116.95
10732;BONAP;3;1;16.97;Francia;0.21;3.56;20.53
10733;BERGS;1;3;110.11;Suecia;0.21;23.12;133.23
10734;GOURL;2;3;1.63;Brasil;0.21;0.34;1.97
10735;LETSS;6;2;45.97;Estados Unidos;0.21;9.65;55.62
10736;HUNGO;9;2;44.10;Irlanda;0.21;9.26;53.36
10737;VINET;2;2;7.79;Francia;0.21;1.64;9.43
10738;SPECD;2;1;2.91;Francia;0.21;0.61;3.52
10739;VINET;3;3;11.08;Francia;0.21;2.33;13.41
10740;WHITC;4;2;81.88;Estados Unidos;0.21;17.19;99.07
10741;BERGS;4;3;10.96;Suecia;0.21;2.30;13.26
10742;BOTTM;3;3;243.73;Canada;0.21;51.18;294.91
10743;AROUT;1;2;23.72;Reino Unido;0.21;4.98;28.70
10744;VAFFE;6;1;69.19;Dinamarca;0.21;14.53;83.72
10745;QUICK;9;1;3.52;Alemania;0.21;0.74;4.26
10746;CHOPS;1;3;31.43;Suiza;0.21;6.60;38.03
10747;PICCO;6;1;117.33;Austria;0.21;24.64;141.97
10748;SAVEA;3;1;232.55;Estados Unidos;0.21;48.84;281.39
10749;ISLAT;4;2;61.53;Reino Unido;0.21;12.92;74.45
10750;WARTH;9;1;79.30;Finlandia;0.21;16.65;95.95
10751;RICSU;3;3;130.79;Suiza;0.21;27.47;158.26
10752;NORTS;2;3;1.39;Reino Unido;0.21;0.29;1.68
10753;FRANS;3;1;7.70;Italia;0.21;1.62;9.32
10754;MAGAA;6;3;2.38;Italia;0.21;0.50;2.88
10755;BONAP;4;2;16.71;Francia;0.21;3.51;20.22
10756;SPLIR;8;2;73.21;Estados Unidos;0.21;15.37;88.58
10757;SAVEA;6;1;8.19;Estados Unidos;0.21;1.72;9.91
10758;RICSU;3;3;138.17;Suiza;0.21;29.02;167.19
10759;ANATR;3;3;11.99;Mexico;0.21;2.52;14.51
10760;MAISD;4;1;155.64;Belgica;0.21;32.68;188.32
10761;RATTC;5;2;18.66;Estados Unidos;0.21;3.92;22.58
10762;FOLKO;3;1;328.74;Suecia;0.21;69.04;397.78
10763;FOLIG;3;3;37.35;Francia;0.21;7.84;45.19
10764;ERNSH;6;3;145.45;Austria;0.21;30.54;175.99
10765;QUICK;3;3;42.74;Alemania;0.21;8.98;51.72
10766;OTTIK;4;1;157.55;Alemania;0.21;33.09;190.64
10767;SUPRD;4;3;1.59;Belgica;0.21;0.33;1.92
10768;AROUT;3;2;146.32;Reino Unido;0.21;30.73;177.05
10769;VAFFE;3;1;65.06;Dinamarca;0.21;13.66;78.72
10770;HANAR;8;3;5.32;Brasil;0.21;1.12;6.44
10771;ERNSH;9;2;11.19;Austria;0.21;2.35;13.54
10772;LEHMS;3;2;91.28;Alemania;0.21;19.17;110.45
10773;ERNSH;1;3;96.43;Austria;0.21;20.25;116.68
10774;FOLKO;4;1;48.20;Suecia;0.21;10.12;58.32
10775;THECR;7;1;20.25;Estados Unidos;0.21;4.25;24.50
10776;ERNSH;1;3;351.53;Austria;0.21;73.82;425.35
10777;GOURL;7;2;3.01;Brasil;0.21;0.63;3.64
10778;BERGS;3;1;6.79;Suecia;0.21;1.43;8.22
10779;MORGK;3;2;58.13;Alemania;0.21;12.21;70.34
10780;LILAS;2;1;42.13;Venezuela;0.21;8.85;50.98
10781;WARTH;2;3;73.16;Finlandia;0.21;15.36;88.52
10782;CACTU;9;3;1.10;Argentina;0.21;0.23;1.33
10783;HANAR;4;2;124.98;Brasil;0.21;26.25;151.23
10784;MAGAA;4;3;70.09;Italia;0.21;14.72;84.81
10785;GROSR;1;3;1.51;Venezuela;0.21;0.32;1.83
10786;QUEEN;8;1;110.87;Brasil;0.21;23.28;134.15
10787;LAMAI;2;1;249.93;Francia;0.21;52.49;302.42
10788;QUICK;1;2;42.70;Alemania;0.21;8.97;51.67
10789;FOLIG;1;2;100.60;Francia;0.21;21.13;121.73
10790;GOURL;6;1;28.23;Brasil;0.21;5.93;34.16
10791;FRANK;6;2;16.85;Alemania;0.21;3.54;20.39
10792;WOLZA;1;3;23.79;Polonia;0.21;5.00;28.79
10793;AROUT;3;3;4.52;Reino Unido;0.21;0.95;5.47
10794;QUEDE;6;1;21.49;Brasil;0.21;4.51;26.00
10795;ERNSH;8;2;126.66;Austria;0.21;26.60;153.26
10796;HILAA;3;1;26.52;Venezuela;0.21;5.57;32.09
10797;DRACD;7;2;33.35;Alemania;0.21;7.00;40.35
10798;ISLAT;2;1;2.33;Reino Unido;0.21;0.49;2.82
10799;KOENE;9;3;30.76;Alemania;0.21;6.46;37.22
10800;SEVES;1;3;137.44;Reino Unido;0.21;28.86;166.30
10801;BOLID;4;2;97.09;Espanya;0.21;20.39;117.48
10802;SIMOB;4;2;257.26;Dinamarca;0.21;54.02;311.28
10803;WELLI;4;1;55.23;Brasil;0.21;11.60;66.83
10804;SEVES;6;2;27.33;Reino Unido;0.21;5.74;33.07
10805;THEBI;2;3;237.34;Estados Unidos;0.21;49.84;287.18
10806;VICTE;3;2;22.11;Francia;0.21;4.64;26.75
10807;FRANS;4;1;1.36;Italia;0.21;0.29;1.65
10808;OLDWO;2;3;45.53;Estados Unidos;0.21;9.56;55.09
10809;WELLI;7;1;4.87;Brasil;0.21;1.02;5.89
10810;LAUGB;2;3;4.33;Canada;0.21;0.91;5.24
10811;LINOD;8;1;31.22;Venezuela;0.21;6.56;37.78
10812;REGGC;5;1;59.78;Italia;0.21;12.55;72.33
10813;RICAR;1;1;47.38;Brasil;0.21;9.95;57.33
10814;VICTE;3;3;130.94;Francia;0.21;27.50;158.44
10815;SAVEA;2;3;14.62;Estados Unidos;0.21;3.07;17.69
10816;GREAL;4;2;719.78;Estados Unidos;0.21;151.15;870.93
10817;KOENE;3;2;306.07;Alemania;0.21;64.27;370.34
10818;MAGAA;7;3;65.48;Italia;0.21;13.75;79.23
10819;CACTU;2;3;19.76;Argentina;0.21;4.15;23.91
10820;RATTC;3;2;37.52;Estados Unidos;0.21;7.88;45.40
10821;SPLIR;1;1;36.68;Estados Unidos;0.21;7.70;44.38
10822;TRAIH;6;3;7.00;Estados Unidos;0.21;1.47;8.47
10823;LILAS;5;2;163.97;Venezuela;0.21;34.43;198.40
10824;FOLKO;8;1;1.23;Suecia;0.21;0.26;1.49
10825;DRACD;1;1;79.25;Alemania;0.21;16.64;95.89
10826;BLONP;6;1;7.09;Francia;0.21;1.49;8.58
10827;BONAP;1;2;63.54;Francia;0.21;13.34;76.88
10828;RANCH;9;1;90.85;Argentina;0.21;19.08;109.93
10829;ISLAT;9;1;154.72;Reino Unido;0.21;32.49;187.21
10830;TRADH;4;2;81.83;Brasil;0.21;17.18;99.01
10831;SANTG;3;2;72.19;Noruega;0.21;15.16;87.35
10832;LAMAI;2;2;43.26;Francia;0.21;9.08;52.34
10833;OTTIK;6;2;71.49;Alemania;0.21;15.01;86.50
10834;TRADH;1;3;29.78;Brasil;0.21;6.25;36.03
10835;ALFKI;1;3;69.53;Alemania;0.21;14.60;84.13
10836;ERNSH;7;1;411.88;Austria;0.21;86.49;498.37
10837;BERGS;9;3;13.32;Suecia;0.21;2.80;16.12
10838;LINOD;3;3;59.28;Venezuela;0.21;12.45;71.73
10839;TRADH;3;3;35.43;Brasil;0.21;7.44;42.87
10840;LINOD;4;2;2.71;Venezuela;0.21;0.57;3.28
10841;SUPRD;5;2;424.30;Belgica;0.21;89.10;513.40
10842;TORTU;1;3;54.42;Mexico;0.21;11.43;65.85
10843;VICTE;4;2;9.26;Francia;0.21;1.94;11.20
10844;PICCO;8;2;25.22;Austria;0.21;5.30;30.52
10845;QUICK;8;1;212.98;Alemania;0.21;44.73;257.71
10846;SUPRD;2;3;56.46;Belgica;0.21;11.86;68.32
10847;SAVEA;4;3;487.57;Estados Unidos;0.21;102.39;589.96
10848;CONSH;7;2;38.24;Reino Unido;0.21;8.03;46.27
10849;KOENE;9;2;0.56;Alemania;0.21;0.12;0.68
10850;VICTE;1;1;49.19;Francia;0.21;10.33;59.52
10851;RICAR;5;1;160.55;Brasil;0.21;33.72;194.27
10852;RATTC;8;1;174.05;Estados Unidos;0.21;36.55;210.60
10853;BLAUS;9;2;53.83;Alemania;0.21;11.30;65.13
10854;ERNSH;3;2;100.22;Austria;0.21;21.05;121.27
10855;OLDWO;3;1;170.97;Estados Unidos;0.21;35.90;206.87
10856;ANTON;3;2;58.43;Mexico;0.21;12.27;70.70
10857;BERGS;8;2;188.85;Suecia;0.21;39.66;228.51
10858;LACOR;2;1;52.51;Francia;0.21;11.03;63.54
10859;FRANK;1;2;76.10;Alemania;0.21;15.98;92.08
10860;FRANR;3;3;19.26;Francia;0.21;4.04;23.30
10861;WHITC;4;2;14.93;Estados Unidos;0.21;3.14;18.07
10862;LEHMS;8;2;53.23;Alemania;0.21;11.18;64.41
10863;HILAA;4;2;30.26;Venezuela;0.21;6.35;36.61
10864;AROUT;4;2;3.04;Reino Unido;0.21;0.64;3.68
10865;QUICK;2;1;348.14;Alemania;0.21;73.11;421.25
10866;BERGS;5;1;109.11;Suecia;0.21;22.91;132.02
10867;LONEP;6;1;1.93;Estados Unidos;0.21;0.41;2.34
10868;QUEEN;7;2;191.27;Brasil;0.21;40.17;231.44
10869;SEVES;5;1;143.28;Reino Unido;0.21;30.09;173.37
10870;WHITC;5;3;12.04;Estados Unidos;0.21;2.53;14.57
10871;BONAP;9;2;112.27;Francia;0.21;23.58;135.85
10872;GODOS;5;2;175.32;Espanya;0.21;36.82;212.14
10873;WILMK;4;1;0.82;Finlandia;0.21;0.17;0.99
10874;GODOS;5;2;19.58;Espanya;0.21;4.11;23.69
10875;BERGS;4;2;32.37;Suecia;0.21;6.80;39.17
10876;BONAP;7;3;60.42;Francia;0.21;12.69;73.11
10877;RICAR;1;1;38.06;Brasil;0.21;7.99;46.05
10878;QUICK;4;1;46.69;Alemania;0.21;9.80;56.49
10879;WILMK;3;3;8.50;Finlandia;0.21;1.78;10.28
10880;FOLKO;7;1;88.01;Suecia;0.21;18.48;106.49
10881;CACTU;4;1;2.84;Argentina;0.21;0.60;3.44
10882;SAVEA;4;3;23.10;Estados Unidos;0.21;4.85;27.95
10883;LONEP;8;3;0.53;Estados Unidos;0.21;0.11;0.64
10884;LETSS;4;2;90.97;Estados Unidos;0.21;19.10;110.07
10885;SUPRD;6;3;5.64;Belgica;0.21;1.18;6.82
10886;HANAR;1;1;4.99;Brasil;0.21;1.05;6.04
10887;GALED;8;3;1.25;Espanya;0.21;0.26;1.51
10888;GODOS;1;2;51.87;Espanya;0.21;10.89;62.76
10889;RATTC;9;3;280.61;Estados Unidos;0.21;58.93;339.54
10890;DUMON;7;1;32.76;Francia;0.21;6.88;39.64
10891;LEHMS;7;2;20.37;Alemania;0.21;4.28;24.65
10892;MAISD;4;2;120.27;Belgica;0.21;25.26;145.53
10893;KOENE;9;2;77.78;Alemania;0.21;16.33;94.11
10894;SAVEA;1;1;116.13;Estados Unidos;0.21;24.39;140.52
10895;ERNSH;3;1;162.75;Austria;0.21;34.18;196.93
10896;MAISD;7;3;32.45;Belgica;0.21;6.81;39.26
10897;HUNGO;3;2;603.54;Irlanda;0.21;126.74;730.28
10898;OCEAN;4;2;1.27;Argentina;0.21;0.27;1.54
10899;LILAS;5;3;1.21;Venezuela;0.21;0.25;1.46
10900;WELLI;1;2;1.66;Brasil;0.21;0.35;2.01
10901;HILAA;4;1;62.09;Venezuela;0.21;13.04;75.13
10902;FOLKO;1;1;44.15;Suecia;0.21;9.27;53.42
10903;HANAR;3;3;36.71;Brasil;0.21;7.71;44.42
10904;WHITC;3;3;162.95;Estados Unidos;0.21;34.22;197.17
10905;WELLI;9;2;13.72;Brasil;0.21;2.88;16.60
10906;WOLZA;4;3;26.29;Polonia;0.21;5.52;31.81
10907;SPECD;6;3;9.19;Francia;0.21;1.93;11.12
10908;REGGC;4;2;32.96;Italia;0.21;6.92;39.88
10909;SANTG;1;2;53.05;Noruega;0.21;11.14;64.19
10910;WILMK;1;3;38.11;Finlandia;0.21;8.00;46.11
10911;GODOS;3;1;38.19;Espanya;0.21;8.02;46.21
10912;HUNGO;2;2;580.91;Irlanda;0.21;121.99;702.90
10913;QUEEN;4;1;33.05;Brasil;0.21;6.94;39.99
10914;QUEEN;6;1;21.19;Brasil;0.21;4.45;25.64
10915;TORTU;2;2;3.51;Mexico;0.21;0.74;4.25
10916;RANCH;1;2;63.77;Argentina;0.21;13.39;77.16
10917;ROMEY;4;2;8.29;Espanya;0.21;1.74;10.03
10918;BOTTM;3;3;48.83;Canada;0.21;10.25;59.08
10919;LINOD;2;2;19.80;Venezuela;0.21;4.16;23.96
10920;AROUT;4;2;29.61;Reino Unido;0.21;6.22;35.83
10921;VAFFE;1;1;176.48;Dinamarca;0.21;37.06;213.54
10922;HANAR;5;3;62.74;Brasil;0.21;13.18;75.92
10923;LAMAI;7;3;68.26;Francia;0.21;14.33;82.59
10924;BERGS;3;2;151.52;Suecia;0.21;31.82;183.34
10925;HANAR;3;1;2.27;Brasil;0.21;0.48;2.75
10926;ANATR;4;3;39.92;Mexico;0.21;8.38;48.30
10927;LACOR;4;1;19.79;Francia;0.21;4.16;23.95
10928;GALED;1;1;1.36;Espanya;0.21;0.29;1.65
10929;FRANK;6;1;33.93;Alemania;0.21;7.13;41.06
10930;SUPRD;4;3;15.55;Belgica;0.21;3.27;18.82
10931;RICSU;4;2;13.60;Suiza;0.21;2.86;16.46
10932;BONAP;8;1;134.64;Francia;0.21;28.27;162.91
10933;ISLAT;6;3;54.15;Reino Unido;0.21;11.37;65.52
10934;LEHMS;3;3;32.01;Alemania;0.21;6.72;38.73
10935;WELLI;4;3;47.59;Brasil;0.21;9.99;57.58
10936;GREAL;3;2;33.68;Estados Unidos;0.21;7.07;40.75
10937;CACTU;7;3;31.51;Argentina;0.21;6.62;38.13
10938;QUICK;3;2;31.89;Alemania;0.21;6.70;38.59
10939;MAGAA;2;2;76.33;Italia;0.21;16.03;92.36
10940;BONAP;8;3;19.77;Francia;0.21;4.15;23.92
10941;SAVEA;7;2;400.81;Estados Unidos;0.21;84.17;484.98
10942;REGGC;9;3;17.95;Italia;0.21;3.77;21.72
10943;BSBEV;4;2;2.17;Reino Unido;0.21;0.46;2.63
10944;BOTTM;6;3;52.92;Canada;0.21;11.11;64.03
10945;MORGK;4;1;10.22;Alemania;0.21;2.15;12.37
10946;VAFFE;1;2;27.20;Dinamarca;0.21;5.71;32.91
10947;BSBEV;3;2;3.26;Reino Unido;0.21;0.68;3.94
10948;GODOS;3;3;23.39;Espanya;0.21;4.91;28.30
10949;BOTTM;2;3;74.44;Canada;0.21;15.63;90.07
10950;MAGAA;1;2;2.50;Italia;0.21;0.52;3.02
10951;RICSU;9;2;30.85;Suiza;0.21;6.48;37.33
10952;ALFKI;1;1;40.42;Alemania;0.21;8.49;48.91
10953;AROUT;9;2;23.72;Reino Unido;0.21;4.98;28.70
10954;LINOD;5;1;27.91;Venezuela;0.21;5.86;33.77
10955;FOLKO;8;2;3.26;Suecia;0.21;0.68;3.94
10956;BLAUS;6;2;44.65;Alemania;0.21;9.38;54.03
10957;HILAA;8;3;105.36;Venezuela;0.21;22.13;127.49
10958;OCEAN;7;2;49.56;Argentina;0.21;10.41;59.97
10959;GOURL;6;2;4.98;Brasil;0.21;1.05;6.03
10960;HILAA;3;1;2.08;Venezuela;0.21;0.44;2.52
10961;QUEEN;8;1;104.47;Brasil;0.21;21.94;126.41
10962;QUICK;8;2;275.79;Alemania;0.21;57.92;333.71
10963;FURIB;9;3;2.70;Portugal;0.21;0.57;3.27
10964;SPECD;3;2;87.38;Francia;0.21;18.35;105.73
10965;OLDWO;6;3;144.38;Estados Unidos;0.21;30.32;174.70
10966;CHOPS;4;1;27.19;Suiza;0.21;5.71;32.90
10967;TOMSP;2;2;62.22;Alemania;0.21;13.07;75.29
10968;ERNSH;1;3;74.60;Austria;0.21;15.67;90.27
10969;COMMI;1;2;0.21;Brasil;0.21;0.04;0.25
10970;BOLID;9;1;16.16;Espanya;0.21;3.39;19.55
10971;FRANR;2;2;121.82;Francia;0.21;25.58;147.40
10972;LACOR;4;2;0.02;Francia;0.21;0.00;0.02
10973;LACOR;6;2;15.17;Francia;0.21;3.19;18.36
10974;SPLIR;3;3;12.96;Estados Unidos;0.21;2.72;15.68
10975;BOTTM;1;3;32.27;Canada;0.21;6.78;39.05
10976;HILAA;1;1;37.97;Venezuela;0.21;7.97;45.94
10977;FOLKO;8;3;208.50;Suecia;0.21;43.78;252.28
10978;MAISD;9;2;32.82;Belgica;0.21;6.89;39.71
10979;ERNSH;8;2;353.07;Austria;0.21;74.14;427.21
10980;FOLKO;4;1;1.26;Suecia;0.21;0.26;1.52
10981;HANAR;1;2;193.37;Brasil;0.21;40.61;233.98
10982;BOTTM;2;1;14.01;Canada;0.21;2.94;16.95
10983;SAVEA;2;2;657.54;Estados Unidos;0.21;138.08;795.62
10984;SAVEA;1;3;211.22;Estados Unidos;0.21;44.36;255.58
10985;HUNGO;2;1;91.51;Irlanda;0.21;19.22;110.73
10986;OCEAN;8;2;217.86;Argentina;0.21;45.75;263.61
10987;EASTC;8;1;185.48;Reino Unido;0.21;38.95;224.43
10988;RATTC;3;2;61.14;Estados Unidos;0.21;12.84;73.98
10989;QUEDE;2;1;34.76;Brasil;0.21;7.30;42.06
10990;ERNSH;2;3;117.61;Austria;0.21;24.70;142.31
10991;QUICK;1;1;38.51;Alemania;0.21;8.09;46.60
10992;THEBI;1;3;4.27;Estados Unidos;0.21;0.90;5.17
10993;FOLKO;7;3;8.81;Suecia;0.21;1.85;10.66
10994;VAFFE;2;3;65.53;Dinamarca;0.21;13.76;79.29
10995;PERIC;1;3;46.00;Mexico;0.21;9.66;55.66
10996;QUICK;4;2;1.12;Alemania;0.21;0.24;1.36
10997;LILAS;8;2;73.91;Venezuela;0.21;15.52;89.43
10998;WOLZA;8;2;20.31;Polonia;0.21;4.27;24.58
10999;OTTIK;6;2;96.35;Alemania;0.21;20.23;116.58
11000;RATTC;2;3;55.12;Estados Unidos;0.21;11.58;66.70
11001;FOLKO;2;2;197.30;Suecia;0.21;41.43;238.73
11002;SAVEA;4;1;141.16;Estados Unidos;0.21;29.64;170.80
11003;THECR;3;3;14.91;Estados Unidos;0.21;3.13;18.04
11004;MAISD;3;1;44.84;Belgica;0.21;9.42;54.26
11005;WILMK;2;1;0.75;Finlandia;0.21;0.16;0.91
11006;GREAL;3;2;25.19;Estados Unidos;0.21;5.29;30.48
11007;PRINI;8;2;202.24;Portugal;0.21;42.47;244.71
11008;ERNSH;7;3;79.46;Austria;0.21;16.69;96.15
11009;GODOS;2;1;59.11;Espanya;0.21;12.41;71.52
11010;REGGC;2;2;28.71;Italia;0.21;6.03;34.74
11011;ALFKI;3;1;1.21;Alemania;0.21;0.25;1.46
11012;FRANK;1;3;242.95;Alemania;0.21;51.02;293.97
11013;ROMEY;2;1;32.99;Espanya;0.21;6.93;39.92
11014;LINOD;2;3;23.60;Venezuela;0.21;4.96;28.56
11015;SANTG;2;2;4.62;Noruega;0.21;0.97;5.59
11016;AROUT;9;2;33.80;Reino Unido;0.21;7.10;40.90
11017;ERNSH;9;2;754.26;Austria;0.21;158.39;912.65
11018;LONEP;4;2;11.65;Estados Unidos;0.21;2.45;14.10
11019;RANCH;6;3;3.17;Argentina;0.21;0.67;3.84
11020;OTTIK;2;2;43.30;Alemania;0.21;9.09;52.39
11021;QUICK;3;1;297.18;Alemania;0.21;62.41;359.59
11022;HANAR;9;2;6.27;Brasil;0.21;1.32;7.59
11023;BSBEV;1;2;123.83;Reino Unido;0.21;26.00;149.83
11024;EASTC;4;1;74.36;Reino Unido;0.21;15.62;89.98
11025;WARTH;6;3;29.17;Finlandia;0.21;6.13;35.30
11026;FRANS;4;1;47.09;Italia;0.21;9.89;56.98
11027;BOTTM;1;1;52.52;Canada;0.21;11.03;63.55
11028;KOENE;2;1;29.59;Alemania;0.21;6.21;35.80
11029;CHOPS;4;1;47.84;Suiza;0.21;10.05;57.89
11030;SAVEA;7;2;830.75;Estados Unidos;0.21;174.46;1005.21
11031;SAVEA;6;2;227.22;Estados Unidos;0.21;47.72;274.94
11032;WHITC;2;3;606.19;Estados Unidos;0.21;127.30;733.49
11033;RICSU;7;3;84.74;Suiza;0.21;17.80;102.54
11034;OLDWO;8;1;40.32;Estados Unidos;0.21;8.47;48.79
11035;SUPRD;2;2;0.17;Belgica;0.21;0.04;0.21
11036;DRACD;8;3;149.47;Alemania;0.21;31.39;180.86
11037;GODOS;7;1;3.20;Espanya;0.21;0.67;3.87
11038;SUPRD;1;2;29.59;Belgica;0.21;6.21;35.80
11039;LINOD;1;2;65.00;Venezuela;0.21;13.65;78.65
11040;GREAL;4;3;18.84;Estados Unidos;0.21;3.96;22.80
11041;CHOPS;3;2;48.22;Suiza;0.21;10.13;58.35
11042;COMMI;2;1;29.99;Brasil;0.21;6.30;36.29
11043;SPECD;5;2;8.80;Francia;0.21;1.85;10.65
11044;WOLZA;4;1;8.72;Polonia;0.21;1.83;10.55
11045;BOTTM;6;2;70.58;Canada;0.21;14.82;85.40
11046;WANDK;8;2;71.64;Alemania;0.21;15.04;86.68
11047;EASTC;7;3;46.62;Reino Unido;0.21;9.79;56.41
11048;BOTTM;7;3;24.12;Canada;0.21;5.07;29.19
11049;GOURL;3;1;8.34;Brasil;0.21;1.75;10.09
11050;FOLKO;8;2;59.41;Suecia;0.21;12.48;71.89
11051;LAMAI;7;3;2.79;Francia;0.21;0.59;3.38
11052;HANAR;3;1;67.26;Brasil;0.21;14.12;81.38
11053;PICCO;2;2;53.05;Austria;0.21;11.14;64.19
11054;CACTU;8;1;0.33;Argentina;0.21;0.07;0.40
11055;HILAA;7;2;120.92;Venezuela;0.21;25.39;146.31
11056;EASTC;8;2;278.96;Reino Unido;0.21;58.58;337.54
11057;NORTS;3;3;4.13;Reino Unido;0.21;0.87;5.00
11058;BLAUS;9;3;31.14;Alemania;0.21;6.54;37.68
11059;RICAR;2;2;85.80;Brasil;0.21;18.02;103.82
11060;FRANS;2;2;10.98;Italia;0.21;2.31;13.29
11061;GREAL;4;3;14.01;Estados Unidos;0.21;2.94;16.95
11062;REGGC;4;2;29.93;Italia;0.21;6.29;36.22
11063;HUNGO;3;2;81.73;Irlanda;0.21;17.16;98.89
11064;SAVEA;1;1;30.09;Estados Unidos;0.21;6.32;36.41
11065;LILAS;8;1;12.91;Venezuela;0.21;2.71;15.62
11066;WHITC;7;2;44.72;Estados Unidos;0.21;9.39;54.11
11067;DRACD;1;2;7.98;Alemania;0.21;1.68;9.66
11068;QUEEN;8;2;81.75;Brasil;0.21;17.17;98.92
11069;TORTU;1;2;15.67;Mexico;0.21;3.29;18.96
